Name,Email,Age,Country,Education Level,Number of Languages Spoken,Gender,Satisfaction Rate,Marital Status,Number of Children
Landon Patel,landonpatel@gmail.com,32,United States,Bachelor's Degree,2,Male,8,Single,3
Cassidy Turner,cassidyturner@yahoo.com,24,Canada,Master's Degree,1,Non-binary,9,Married,4
Axl Thompson,axl.thompson@hotmail.com,43,United States,High School,3,Male,7,Single,1
Ivy Wilson,ivywilson@gmail.com,58,United Kingdom,Bachelor's Degree,4,Female,6,Divorced,0
Reece Scott,reece.scott@outlook.com,26,Australia,Doctorate,4,Male,4,Married,2
Carter Johnson,carter.johnson@yahoo.com,41,Canada,Bachelor's Degree,3,Male,7,Single,0
Taliyah Garcia,taliyah.garcia@hotmail.com,20,Mexico,Master's Degree,2,Female,3,Married,3
Ishaan Patel,ishaan_patel@gmail.com,34,India,Bachelor's Degree,1,Male,5,Divorced,2
Mikayla James,mikayla_james@hotmail.com,40,United States,Master's Degree,1,Female,9,Single,1
Brenton Davis,brenton.davis@yahoo.com,33,Australia,Bachelor's Degree,2,Male,6,Married,4
Aurora Martin,auroramartin@gmail.com,47,United Kingdom,High School,3,Female,8,Single,0
Jovany Rodriguez,jovany.rodriguez@yahoo.com,31,Mexico,High School,1,Male,2,Married,4
Lillyana Hernandez,lillyana_hernandez@hotmail.com,45,United States,Doctorate,4,Female,10,Divorced,3
Elvis Brown,elvis_brown@gmail.com,22,Canada,Master's Degree,1,Male,1,Single,4
Livia Perez,livia_perez@yahoo.com,48,Mexico,Master's Degree,3,Female,5,Married,2
Nash Cooper,nash.cooper@hotmail.com,25,United States,Doctorate,4,Male,3,Single,0
Janelle Lee,janelle_lee@gmail.com,56,United Kingdom,Bachelor's Degree,2,Female,8,Married,2
Siena Davis,siena_davis@yahoo.com,30,Canada,Bachelor's Degree,1,Female,6,Single,1
Eddie Black,eddie.black@hotmail.com,51,Australia,Doctorate,3,Male,4,Divorced,0
Eve Ramirez,eve_ramirez@gmail.com,39,Mexico,High School,4,Female,7,Married,4
Milo Wright,milo.wright@yahoo.com,35,United States,Master's Degree,2,Male,10,Single,2
Allyson Mitchell,allyson.mitchell@hotmail.com,49,Canada,High School,1,Female,4,Married,1
Amos Adams,amos.adams@gmail.com,50,United States,Bachelor's Degree,1,Male,2,Divorced,4
Kaliyah Brown,kaliyah.brown@yahoo.com,20,Mexico,Doctorate,1,Female,9,Single,0
Jamal Hernandez,jamal_hernandez@hotmail.com,27,United States,Master's Degree,4,Male,8,Married,3
Adele Anderson,adele_anderson@gmail.com,59,United Kingdom,Doctorate,4,Female,6,Married,4
Landon Taylor,landon.taylor@yahoo.com,54,Canada,Master's Degree,1,Male,8,Single,1
Alec Perez,alec.perez@hotmail.com,46,Mexico,Bachelor's Degree,2,Male,4,Married,0
Lorelai King,lorelai_king@gmail.com,21,United States,High School,3,Female,5,Single,4
Hector Ramirez,hector.ramirez@yahoo.com,44,Mexico,High School,3,Male,9,Married,3
Nina White,nina.white@hotmail.com,32,Australia,Master's Degree,1,Female,3,Divorced,2
Dane Scott,dane_scott@gmail.com,60,United States,Master's Degree,2,Male,6,Single,1
Lainey Gonzalez,lainey_gonzalez@yahoo.com,52,Mexico,High School,1,Female,5,Married,1
Cohen Wilson,cohen.wilson@hotmail.com,28,United Kingdom,Bachelor's Degree,2,Male,9,Single,0
Kaitlyn Adams,kaitlyn.adams@gmail.com,38,Australia,Doctorate,4,Female,1,Married,3
Dariana Davis,dariana.davis@yahoo.com,53,Canada,Master's Degree,1,Female,5,Divorced,2
Toby Lee,tobylee@hotmail.com,36,United States,Bachelor's Degree,4,Male,8,Married,1
Eliezer Perez,eliezer_perez@gmail.com,42,Mexico,High School,2,Male,9,Married,4
