,Name,Email,Age,Country,Education Level,Number of Languages Spoken,Gender,Satisfaction Rate,Marital Status,Number of Children
0,Landon Patel,landonpatel@gmail.com,32,United States,Bachelor's Degree,2,Male,8,Single,3
1,Cassidy Turner,cassidyturner@yahoo.com,24,Canada,Master's Degree,1,Non-binary,9,Married,4
2,Axl Thompson,axl.thompson@hotmail.com,43,United States,High School,3,Male,7,Single,1
3,Ivy Wilson,ivywilson@gmail.com,58,United Kingdom,Bachelor's Degree,4,Female,6,Divorced,0
4,Reece Scott,reece.scott@outlook.com,26,Australia,Doctorate,4,Male,4,Married,2
5,Carter Johnson,carter.johnson@yahoo.com,41,Canada,Bachelor's Degree,3,Male,7,Single,0
6,Taliyah Garcia,taliyah.garcia@hotmail.com,20,Mexico,Master's Degree,2,Female,3,Married,3
7,Ishaan Patel,ishaan_patel@gmail.com,34,India,Bachelor's Degree,1,Male,5,Divorced,2
8,Mikayla James,mikayla_james@hotmail.com,40,United States,Master's Degree,1,Female,9,Single,1
9,Brenton Davis,brenton.davis@yahoo.com,33,Australia,Bachelor's Degree,2,Male,6,Married,4
10,Aurora Martin,auroramartin@gmail.com,47,United Kingdom,High School,3,Female,8,Single,0
11,Jovany Rodriguez,jovany.rodriguez@yahoo.com,31,Mexico,High School,1,Male,2,Married,4
12,Lillyana Hernandez,lillyana_hernandez@hotmail.com,45,United States,Doctorate,4,Female,10,Divorced,3
13,Elvis Brown,elvis_brown@gmail.com,22,Canada,Master's Degree,1,Male,1,Single,4
14,Livia Perez,livia_perez@yahoo.com,48,Mexico,Master's Degree,3,Female,5,Married,2
15,Nash Cooper,nash.cooper@hotmail.com,25,United States,Doctorate,4,Male,3,Single,0
16,Janelle Lee,janelle_lee@gmail.com,56,United Kingdom,Bachelor's Degree,2,Female,8,Married,2
17,Siena Davis,siena_davis@yahoo.com,30,Canada,Bachelor's Degree,1,Female,6,Single,1
18,Eddie Black,eddie.black@hotmail.com,51,Australia,Doctorate,3,Male,4,Divorced,0
19,Eve Ramirez,eve_ramirez@gmail.com,39,Mexico,High School,4,Female,7,Married,4
20,Milo Wright,milo.wright@yahoo.com,35,United States,Master's Degree,2,Male,10,Single,2
21,Allyson Mitchell,allyson.mitchell@hotmail.com,49,Canada,High School,1,Female,4,Married,1
22,Amos Adams,amos.adams@gmail.com,50,United States,Bachelor's Degree,1,Male,2,Divorced,4
23,Kaliyah Brown,kaliyah.brown@yahoo.com,20,Mexico,Doctorate,1,Female,9,Single,0
24,Jamal Hernandez,jamal_hernandez@hotmail.com,27,United States,Master's Degree,4,Male,8,Married,3
25,Adele Anderson,adele_anderson@gmail.com,59,United Kingdom,Doctorate,4,Female,6,Married,4
26,Landon Taylor,landon.taylor@yahoo.com,54,Canada,Master's Degree,1,Male,8,Single,1
27,Alec Perez,alec.perez@hotmail.com,46,Mexico,Bachelor's Degree,2,Male,4,Married,0
28,Lorelai King,lorelai_king@gmail.com,21,United States,High School,3,Female,5,Single,4
29,Hector Ramirez,hector.ramirez@yahoo.com,44,Mexico,High School,3,Male,9,Married,3
30,Nina White,nina.white@hotmail.com,32,Australia,Master's Degree,1,Female,3,Divorced,2
31,Dane Scott,dane_scott@gmail.com,60,United States,Master's Degree,2,Male,6,Single,1
32,Lainey Gonzalez,lainey_gonzalez@yahoo.com,52,Mexico,High School,1,Female,5,Married,1
33,Cohen Wilson,cohen.wilson@hotmail.com,28,United Kingdom,Bachelor's Degree,2,Male,9,Single,0
34,Kaitlyn Adams,kaitlyn.adams@gmail.com,38,Australia,Doctorate,4,Female,1,Married,3
35,Dariana Davis,dariana.davis@yahoo.com,53,Canada,Master's Degree,1,Female,5,Divorced,2
36,Toby Lee,tobylee@hotmail.com,36,United States,Bachelor's Degree,4,Male,8,Married,1
37,Eliezer Perez,eliezer_perez@gmail.com,42,Mexico,High School,2,Male,9,Married,4
38,Caitlin King,caitlin.king@yahoo.com,23,Canada,Master's Degree,3,Female,7,Single,1
39,Dane Patel,dane_patel@hotmail.com,20,India,Master's Degree,4,Male,2,Divorced,0
40,Violeta Gonzalez,violeta_gonzalez@gmail.com,37,Mexico,High School,1,Female,7,Married,2
41,Tristin Scott,tristin.scott@yahoo.com,61,United States,Master's Degree,4,Male,4,Single,1
42,Aubree Davis,aubree_davis@hotmail.com,29,Australia,Bachelor's Degree,1,Female,8,Married,3
43,Lennon Martinez,lennon_martinez@gmail.com,57,Mexico,Master's Degree,4,Male,1,Single,0
44,Aryan Thompson,aryan_thompson@yahoo.com,61,United States,Master's Degree,2,Male,8,Divorced,1
45,Soren Wilson,soren_wilson@hotmail.com,55,Canada,Bachelor's Degree,1,Male,6,Married,2
46,Braelyn Hernandez,braelyn.hernandez@gmail.com,61,Mexico,High School,2,Female,9,Married,4
47,Zion Rodriguez,zion_rodriguez@yahoo.com,50,Mexico,Doctorate,4,Male,4,Single,0
48,Edgar Johnson,edgar.johnson@hotmail.com,52,United States,Master's Degree,3,Male,8,Married,3
49,Lana Taylor,lana.taylor@gmail.com,47,Canada,Master's Degree,1,Female,5,Single,2
50,Braden Perez,braden_perez@yahoo.com,60,Mexico,Bachelor's Degree,2,Male,2,Married,4
51,Jaida Smith,jaida_smith@hotmail.com,21,United States,High School,1,Female,8,Divorced,1
52,Jovanny Davis,jovanny.davis@gmail.com,43,Australia,High School,4,Male,4,Married,0
53,Eliana Brown,eliana_brown@yahoo.com,61,United States,Bachelor's Degree,1,Female,10,Single,2
54,Kasey Gonzalez,kasey.gonzalez@hotmail.com,30,Mexico,Doctorate,2,Female,6,Married,1
55,Hanna Anderson,hanna.anderson@gmail.com,24,Canada,High School,1,Female,7,Married,4
56,Carmelo Martinez,carmelo.martinez@yahoo.com,58,Mexico,Master's Degree,4,Male,7,Single,0
57,Luz White,luz.white@hotmail.com,34,United States,Master's Degree,3,Female,3,Divorced,3
58,Cannon Scott,cannon_scott@gmail.com,56,Canada,High School,4,Male,1,Married,1
59,Maisie Adams,maisie.adams@yahoo.com,22,Australia,Doctorate,4,Female,9,Single,2
60,Jasper Lee,jasper.lee@hotmail.com,25,United States,Master's Degree,1,Male,3,Married,2
61,Zoie Wilson,zoie.wilson@gmail.com,61,United Kingdom,Bachelor's Degree,2,Female,6,Divorced,1
62,Maren Hernandez,maren_hernandez@yahoo.com,29,Mexico,High School,3,Female,7,Single,0
63,Braylen Thompson,braylen_thompson@hotmail.com,20,Australia,Master's Degree,3,Male,1,Married,3
64,Karlee Rodriguez,karlee_rodriguez@gmail.com,41,Mexico,High School,1,Female,8,Married,2
65,Sergio Perez,sergio_perez@yahoo.com,36,Mexico,Bachelor's Degree,3,Male,5,Divorced,4
66,Layton Davis,layton.davis@hotmail.com,42,Canada,High School,1,Male,4,Married,1
67,Savanah Johnson,savanah.johnson@gmail.com,50,United States,Doctorate,2,Female,9,Single,1
